num,title,date
5541176,대장님 진짠가염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 00:24:28
5541177,풀매수 때렸다,2020-03-01 00:25:08
5541180,1시네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 01:00:29
5541181,대장님 어제부터 대놓고 매수벽과 매도벽이 종종 보이네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 01:17:14
5541182,대장님 10500불에서 8445불까지 하락한거는 충분한것 같은뎅ㄷㄷㄷㄷㄷ,2020-03-01 01:26:47
5541183,대장님 상승안해도 되니까난 지금가격 유지만 해주셨으면은 좋겠네염ㄷㄷㄷㄷㄷ,2020-03-01 01:50:46
5541184,퇴갤이염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 02:24:06
5541186,비트 200일선이 깨질리가 없다고 믿~~쑵니다,2020-03-01 03:09:24
5541189,미국이 한국여행금지시켰는데 빗코 가격변동없네?,2020-03-01 04:38:05
5541191,"VPN 반값에 판매합니다. 야동보고싶으신분, VPN 필요하신분",2020-03-01 08:03:18
5541194,카이버 ㅆㅂ 파니까 올라가네,2020-03-01 08:15:22
5541195,먼 200일선이 깨지면 올라가는 맛이 있노 장기이평선인데,2020-03-01 08:19:45
5541196,입갤이염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 08:40:01
5541197,일어나가지고 대장님 보니까는 집 가시는데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 08:40:48
5541198,대장님 8445불보다 더 저점이 있나 본데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 08:47:05
5541199,200일선 뚫리면 일케대는거 ㅇㅅㅇ,2020-03-01 08:48:22
5541200,대장님 8500불 반등안나오면은 정말루다가 전저점 뚫러가시겠네염ㄷㄷㄷㄷㄷ,2020-03-01 08:55:33
5541201,디마캣 저거 또 심상치않네.....,2020-03-01 09:13:12
5541202,대장님 200일선 에대해 잘설명해줘,2020-03-01 09:18:03
5541203,카이버 개열받네 시발련,2020-03-01 09:19:02
5541204,"단타충들이라 200일선도 몰으노 ㅡㅡ""  멀 설명을 해줌",2020-03-01 09:21:46
5541205,꾸꾸야ㅡㅡ,2020-03-01 09:27:58
5541206,위구르,2020-03-01 09:32:25
5541207,꾸깽 트레이드팀 분석으루다가는 .TXT,2020-03-01 09:32:45
5541209,대장님 요즘 기분 안좋으신가 보네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 09:37:55
5541210,오늘장은 정말루다가 코인안하는게 이득같은데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 10:03:01
5541211,개좆같네 하,2020-03-01 10:06:29
5541213,대장님 8500불만큼은 어떻게든 지켜주시길 바래야져ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 10:17:08
5541214,따면 잃는거 반복되네 ㅡㅡ ,2020-03-01 10:24:45
5541215,빗골은 왜저러냐,2020-03-01 10:26:43
5541216,혹시 이거 애니 보셨나요?,2020-03-01 10:34:19
5541217,비캐 대장님에스브이 비골 느낌 좋은데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 10:45:53
5541218,아침장 분위기 느낌 있는데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 10:55:47
5541219,비캐 심상치 않다ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 10:56:29
5541220,갑자기 코인판 흐름 바꼈넹ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 11:28:18
5541221,바이러스가 코인엔 호재인게,2020-03-01 11:33:08
5541222,슬슬 매매해볼까염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 12:04:02
5541223,뉴이코가 지금 심상치않네.....,2020-03-01 12:40:05
5541224,오늘장 끝난건가염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 13:15:02
5541225,코인 접는다,2020-03-01 13:18:51
5541226,니들 코인 오픈톡방에도 짱깨많냐? 차이나 게이트,2020-03-01 13:39:00
5541227,비트 끝났네 하방 확정이다,2020-03-01 14:04:17
5541228,다 팔앗는데 올라가면 접는다 진짜 ,2020-03-01 14:26:00
5541230,사기친 비트코인 2만2천개 들고 한국 울산에 숨어있는 벤자민,2020-03-01 14:41:21
5541231,비트맥스 입문함,2020-03-01 14:42:48
5541232,대장님 하락하실거면은 빨리 하시고여 진반등 갑시당ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 14:55:58
5541235,정말루다가 잠오는 장이넹ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 15:38:06
5541239,남자는 레버 백배지,2020-03-01 16:09:53
5541243,코로나와 코인,2020-03-01 16:57:49
5541244,빗썸 왜 로그이안되냐씨발 좆같네,2020-03-01 17:21:14
5541245,형들 기부 취지로 코인을 만들어봤는데,2020-03-01 17:32:55
5541246,아 마진 40퍼날렸네ㅐ,2020-03-01 17:44:09
5541248,입갤이염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 18:11:08
5541249,오늘은여 밥값 수익냈네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 18:12:09
5541251,빗썸에 코인 옮겨가지고 파워렛저 풀매수할까염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 18:15:44
5541253,대장님 8500불만 지켜주시면은 가능성 있는뎅ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 18:28:31
5541255,정말루다가 잡알트 존버는여 쉬운게 아니라니깐염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 18:52:26
5541256,비트맥스 왤캐 좆같냐 시발 지정가 존나 안 팔리네,2020-03-01 19:03:42
5541258,빗갤럼들아 도움요청)) 영화스탠딩업같이다운받자,2020-03-01 19:35:48
5541260,100원대 초반 잡알트들 상승할줄 알았는뎅ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 19:43:02
5541261,승부 걸었습니당ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 19:45:56
5541263,비트코인,2020-03-01 19:52:38
5541265,80배 레버 =50에서 0 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2020-03-01 20:17:50
5541266,14배 뛰었습니다,2020-03-01 20:19:17
5541267,이더리움 제대로 물렸는데,2020-03-01 20:22:50
5541268,엔진코인 약수익내고여 나왔는뎅 아쉽네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 20:44:05
5541270,심상치않네 진짜 ,2020-03-01 20:45:59
5541271,이더리움 지금 몰빵가라,2020-03-01 20:47:01
5541272,대장님 메로나 뭐져ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 20:57:10
5541273,갑자기 개떡상하노,2020-03-01 21:02:35
5541276,오늘도 역시나,2020-03-01 21:30:37
5541278,유비너 이틀 뒤면 상장이네 ㅋㅋㅋ,2020-03-01 21:38:10
5541279,아니 키워드,2020-03-01 21:44:27
5541280,휴 다시 8.6 ,2020-03-01 21:50:05
5541281,대장님 상승한만큼 던지시는데염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 21:51:28
5541282,오르는척 햇다가 내리네,2020-03-01 21:57:51
5541283,잡코인에 돈 넣고 마냥 기다리는거 병신짓이냐,2020-03-01 21:58:19
5541284,역시 게임은 아이템장착해야지,2020-03-01 21:58:32
5541286,대장님 움직임은 정말루다가 알수가 없네염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-01 22:15:34
5541287,꾸까잡으러왓습니다,2020-03-01 22:16:50
5541289,어디까지 갈껀지,2020-03-01 22:37:11
5541290,다음주 저항라인 and 지지라인. bunsuk,2020-03-01 22:42:42
5541292,"은행 적금, P2P, 주식 다 비교해봤는데 솔직히 이게 짱 아니냐",2020-03-01 22:55:50
5541293,아따마 등록 하나 ,2020-03-01 23:08:16
5541298,비트 8200깨지기전까진 계속 매집,2020-03-01 23:39:17
5541301,비트 8000초반까지 열어두고 현재포폴,2020-03-01 23:48:30
5541304,코인은 끝낫네 다털고나간다..,2020-03-01 23:57:47
5541307,입갤이염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-02 00:48:47
5541308,오늘 새벽장 어케 될지염ㄷㄷㄷㄷㄷㄷㄷ,2020-03-02 00:49:53
5541311,오늘 새벽 불안하네,2020-03-02 01:08:32
5541312,●●●패턴 학습 됐겠지만 다단계 하락장이다,2020-03-02 01:12:30
