num,title,date
5573166,스트라티스 오늘 1500 이상 나올듯,2020-07-01 00:24:26
5573168,스트라티스,2020-07-01 00:29:03
5573169,아 코넌 매도주문 걸어놨어야했는데,2020-07-01 00:30:56
5573172,2014~2015년도에 비트코인 하던 분들 도움좀 주세요,2020-07-01 01:01:42
5573173,리플빨리 다빼 ,2020-07-01 01:03:14
5573179,다빈치 오픈채팅방 조용하네 ㅋㅋ,2020-07-01 02:05:36
5573181,형님들 아픽스 위쇼 탈출 가능합니까ㅠㅠ,2020-07-01 02:26:19
5573182,아픽스 운지쇼,2020-07-01 02:28:44
5573188,하 리플 씹년때문에 자금순환 꽉막혀있어서,2020-07-01 03:22:39
5573189,네스트리 7.5에 매수했다가 9.4에 전부팔고 7.7에 다시들어갔는데,2020-07-01 03:23:47
5573195,알트 하락장 온 것 같다.,2020-07-01 04:29:02
5573206,아픽스얼마전까지20원하던게 ㅋㅋㅋ,2020-07-01 07:16:01
5573210,dd,2020-07-01 07:55:52
5573211,부정선거 재검표 촉구 국민청원 올라옴,2020-07-01 08:02:17
5573217,하이콘 10원까지 가니까 떨어질때 빨리 올라타라,2020-07-01 08:37:52
5573218,이거 호재있음?,2020-07-01 08:39:27
5573219,그만 먹고 내릴까 지금+1500만,2020-07-01 08:46:50
5573223,마틴기법 써본새끼 잇냐,2020-07-01 08:54:30
5573225,센티널 프로토콜 삼성이랑 계약함,2020-07-01 08:56:37
5573226,센테넬 난리부르스를 치는구만,2020-07-01 08:57:13
5573227,피즈 8원에 물였는데 구조대 오냐?,2020-07-01 09:05:49
5573234,보름전에 센티넬 18원에 팔았는데 이게 뭐꼬,2020-07-01 09:27:23
5573235,센티넬 지금들어가면 골로가겠지?,2020-07-01 09:28:12
5573236,비트 월봉 음봉마감이노ㅋㅋㅋ,2020-07-01 09:28:28
5573244,이오스트 오늘이라는데 반응이,2020-07-01 10:04:59
5573245,센티넬 100원 가즈아,2020-07-01 10:05:04
5573248,이때 리플 무슨 일 있었던거냐,2020-07-01 10:17:10
5573249,센티 운지시작했다 빨리 빼라,2020-07-01 10:17:37
5573250,마지막이라고 생각하고 센티넬 넣었다,2020-07-01 10:29:39
