,num,title
2,3153349,펀디엑스 ㅈ댄거임?
10,3153359,펀디는 답이 정해져있다..
14,3153363,펀디 어떻게든 개미떨굴라고ㅋㅋ
16,3153365,알트숏은 자제 해라 가끔씩 비트 떨어져도 버티면서 꾸역꾸역 오름
22,3153374,펀디 986층 오냐?
28,3153383,펀디 개같이 사망
30,3153385,리플 어떡하냐
31,3153386,이클 오늘까지 4.8만찍고마감하고 낼부터 올립니다
34,3153390,펀디엑스 999에 3억물린놈 근황...jpg
37,3153393,니어 엔진 들어가봤다
46,3153404,펀디가 거래대금 이클 제꼈노
48,3153406,팩트) 이클 50000원 밑으로 떨어지는고 아니면 안팔아도됨
55,3153414,펀디 덕분에 이클이 오히려 좋다
57,3153417,메타마스크에 비트 옮겨놨는데 니모닉 관리 팁좀
60,3153422,펀디 걍 지금 뺄까
74,3153441,펀디엑스 다 얼마에 들어갓냐
76,3153443,어제부터 비트 무빙 돌았네
101,3153477,펀디엑스 호재 아직 남았다
108,3153486,근데 이클은 왜 올랐었나요?
109,3153488,펀디 890깨지면 도미노
121,3153503,이오스 지금 사지 마라 1000원까지 밀리는 자리 2000 넘으면
124,3153506,이오스 2000 뚫는 순간 마누라까지 담보 잡아 풀매수 해라
128,3153511,이오스 이천원에 들어가서 삼천원에 나오면 댐
145,3153532,이클 51480원에 풀매수하고 잔다 ㅅㅂ
154,3153543,잡코순환펌핑끝나면 비트나락공식
165,3153558,펀디 간다
167,3153564,이오스 2천 뚫기 전에 타면 좆된다 햇제 햇제 ㅋㅋㅋ 나락
170,3153570,펀디 역픈데 업빗 미친놈아
177,3153580,펀디 고점에 물린새끼들 살아잇냐? 
184,3153594,이오스 간다
203,3153628,리플은 언제 소송 끝나냐 ㅋㅋ존나 오래하노
209,3153641,이클이랑 이더 상승하는게
220,3153662,리플 소송은 한 2년 더 남지 안았냐?
224,3153671,펀디 다시 한번뛰어주먄 안되냐?
228,3153677,조선족 기사새끼떄문에 펀디는 오르지도않네ㅋㅋㅋ
230,3153682,펀디엑스 뛴다 달리자!!
234,3153687,펀디 애미없는조선족새끼가 다조져놔서 안오름ㅋㅋ
239,3153694,근데 펀디 호재가뭐야???
244,3153705,리플 10월까지 존버 탄다 시파꺼..알트는 개미무덤 뿐이네
247,3153716,펀디엑스 장난질 존나치니까 이제 아무도 안믿음ㅋㅋ
250,3153723,무비블록 어때?
258,3153733,펀디 선채로 뒤짐
263,3153741,이클 슬슬 사람피말리듯이 박고있넹 ㅜㅜ
280,3153773,펀디 조작질하는 고아원 장애인새끼ㄹㅇㅋㅋ
285,3153784,이클 풀숏60배현황
287,3153788,펀디 시발 다박을걸 ㅠㅠㅠ
290,3153792,비캐 ㄱㅅㄲ
296,3153803,비캐 파니까 이젠 비트올라서 자동으로 오르네
298,3153806,가자씨발이더야
302,3153812,이오스 2000 뚫으면 여친 보지 담보 잡아서 풀매수
303,3153813,도지쏜다
304,3153814,펀디기사 애미청년아 3퍼 익절한다 병신년아
306,3153816,리플 사고 업비트 지워라 ㅇㅈ??
307,3153817,오늘 새벽 최고 하일라이트는 이오스 2천 > 3천 가는거다
308,3153818,빅롱트 이클 양전 ㅋㅋㅋㅋㅋㅋㅋ
313,3153829,이오스 사놓고 자라
328,3153854,이클 폭포수 ㅋㅋㅋㅋㅋㅋ
332,3153860,순간 비트겟 오류난줄 ㅋㅋ
337,3153865,이더 1751에 30배숏 잡았는데 뭔일이냐 개꿀
343,3153875,이클타자마자 시원하네
361,3153897,전쟁낫다니까 비트개폭락중ㅋㅋㅋㅋ
367,3153905,이클 숏부터 조진다
377,3153919,어쭈구리 비트운전수 이쉑
410,3153960,코소보랑 비트랑 뭔상관이야
415,3153968,잘먹었어 비트야
433,3154003,이클 6만 가즈아ㅏㅏㅏㅏ
450,3154029,이거 지표보셈 지금 비트 롱휩쏘주고 아래로 박는다
