,num,title
3,5573172,2014~2015년도에 비트코인 하던 분들 도움좀 주세요
4,5573173,리플빨리 다빼 
8,5573188,하 리플 씹년때문에 자금순환 꽉막혀있어서
24,5573244,이오스트 오늘이라는데 반응이
26,5573248,이때 리플 무슨 일 있었던거냐
58,5573315,카이버는 왜 찬밥 취급을 받는가?
94,5573389,이더리움 십팔새끼
97,5573395,원금이 비트코인접었냐? 갤러리 씹노잼이네
121,5573444,꿀에드 정보
124,5573451,리플 거래량 보니까 세@력이 매수좀 한거같은데
127,5573454,펀디머지
137,5573501,펀디대박이다
139,5573509,펀디엑스 오르는이유- 페이팔협약
143,5573521,카이버타라..
148,5573527,펀디 10원가즈아
150,5573530,메탈슬러그 나오면 할거임?
155,5573540,에드 부럽노
198,5573611,애들아 비트토렌트 41층에물렸는데 이거다시올라오냐?
218,5573653,더마이더스 거래기여도.....
231,5573671,오늘 카이버 변동성 ㅈ되네
239,5573681,내가 체인링크를 0.1불에 샀으면 중간에 안팔았을까?
265,5573718,에드 언제하지
267,5573723,일론 머스크 '이더리움은 가지고 있지 않다' 트위터 발언에 화제
270,5573729,카이버좌들 주의할것이..
279,5573744,엉아들 헤데라 장투로 어때?
282,5573748,비트보단 이더겠지
285,5573755,반감기 지난 비트는 결국 우상향
286,5573756,체인링크가 역쉬 좆플보다 낫땅 ㅋㅋㅋ
290,5573764,주말장 앞두고 비트랑 비캐가 죽쓰니
295,5573771,몇 주 동안 우상향 하다가 비트 떨어질때 더 오르네
300,5573778,지겨운 비트 횡보
303,5573785,아 카이버 배아프다..
321,5573816,아 시발 비트토렌트 올라가라고 개새끼야
334,5573843,와 에드 또 못먹었네 ㅋㅋㅋㅋㅋ
335,5573844,펀디 조정끝났다
336,5573845,카이버 아짇 안탔냐...
339,5573848,아..카이버 ...배아파....부럽노
340,5573849,카이버 지금이라도 탓다걍
343,5573852,친구들아 처음으로 비트코인 당첨되 갤러리 드와본다
347,5573856,카이버미쳤네 진짜
354,5573868,북한이 비트코인 그렇게 많다며
357,5573871,좋은말할때 비트토렌트 0.45원까지 쳐올려라 개쳐맞기전에씹새끼들아
360,5573874,리플 ㅋㅋㅋ 한국지분률이 87%임 ㅋㅋㅋ
375,5573897,마스크너무비싸지않냐?ㅅㅂ
381,5573903,다들 이제 비트코인 안물어보더라
390,5573919,형들 아르고 어때보임?
392,5573922,자 카이버 이제 지옥 가자! 숏치고 탑승하련다!
393,5573923,"캬 내가 말한 뒤 2분만에 카이버 1.72 -> 1,68 봤나?!!"
400,5573931,누가 이더월렛에 이더 0.001 만 보내줄사람 현금쏴줄게;;;
403,5573935,형들 오브스는 어때?
426,5573968,무비쏘고나면 다음은 꼭 메디블록 쏘더라 업빗
444,5573996,아니 근데 비트도 그런데
478,5574046,카이버네트워크 질리카는 길게봐라
480,5574051,리플이 절대 망할수 없는 이유 밝혀짐.
484,5574060,마스크너무비싸지않냐?
487,5574063,버핏) 아 오늘 새벽에 비트코인 9700불 볼 생각에 기분이 너무 설레노
490,5574067,이쯤이면 비트매수할만하지않나?
498,5574081,니네 비트가 왜 천만원갔는지아냐?
508,5574097,나는 금요일부터 주말 질리카 비트코인 대격변 일으킨다고 말해왔따
510,5574099,뿌뿌 비트코인 9156에서 재점화 시작합니다~~~!
519,5574112,엘론머스크 이더리움?
544,5574146,이더리움 방향성
571,5574183,그래도 토토나 로또에 기대거는거보다 비트코인이 현실적?
582,5574196,3년간 코인판 관망한 결론 : 비트코인 외에는 다 씹스캠
596,5574217,씹더리움 이새낀 비트랑 쌍으로 개좃망이네
597,5574219,호주 우체국에서 비트코인 구매 가능해졌다
637,5574277,얘들아 오브스사라 오브스
661,5574317,ㄷㄷㄷ 비트코인 매수 40억 ㄷㄷ
663,5574319,이오스 떡상 
