,num,title
2,6722073,넴 2000원  떡상 기원 기도 1일차
6,6722077,리플 빨리타라 떡상각
11,6722085,그래서 리플 588층 구제각이냐고 ㅠㅠ
13,6722087,코린이들 리플 쏜다 풀매수해라 낼아침에 우지말고 ㅇㅇ
16,6722090,리플 상승기류 그래프탔다 ㄱㄱ 빨리타
22,6722097,이더 170부터 1차매수해봐야징
30,6722106,Cbdc랑 리플이랑은 관련 없나
35,6722112,이더리움 복구 얼마나 걸릴거같냐
41,6722121,넴 코인 3주안에 1000원 이상으로 떡상
45,6722125,라이트코인 이더리움중에 누가 더 근본임?
53,6722138,시간 조종 능력있으면 좋겠다 아ㅋㅋ 비트코인 풀매수
64,6722150,넴 쳐다보지도마라
75,6722166,과거로 돌아가서 비트다샀는데
79,6722170,이번 비트코인 하락장 사태에 대해 생각 하는 것.
84,6722176,업빗 삭제했는데 지금 펀디
93,6722188,비트로 잃는애들은 비트가 문제가아니라 걍 멍청한거
94,6722189,리플 사라
105,6722201,넴 단타 치려 샀은데 거래량이 없다 ㅡㅡ 
112,6722209,펀디 2.2에 탔는데 그냥 내릴까
114,6722212,업비트 지우고 코인 접기 vs 리플 사기
124,6722223,넴 584 풀매수들어갔다
156,6722261,리플   보라급 맞지?
158,6722263,그냥 비트코인 하나에 모든 잡코인이 연결되어 있다
162,6722267,리플때문에잠을못자겠네
175,6722283,넴 이씹새끼 때매 미치겠다
193,6722308,다른건 몰라도 비트코인이 떨어지는건 좀심각한거아니냐??.....
209,6722325,다들 비트코인은 어디서 공부하고 하는거냐?
238,6722362,형들 펀디 3.82층인데 언제쯤와??
247,6722373,지금 비트 상황
249,6722375,리플 새벽에 한번제대로쏘겠다 ㄷㄷㄷㄷ
254,6722380,내가 비트코인이 떨어지는 것에 걱정을 안하는 이유
261,6722387,리플 왜 혼자가냐 ㅋㅋ 씹스캠련 ㅋㅋㅋ
267,6722394,리플쏜다 ㅇㅇ
268,6722395,펀디 어디까지 내려갈 것 같냐?
286,6722414,리플 달린다 ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
289,6722419,리플 평단 ㅁㅌㅊ?
295,6722426,리플쏜다 빨리타라 ㅇㅇ
298,6722429,펀디쏜다
299,6722430,리플은 아까부터 오르고 있었는데
300,6722431,리플
305,6722437,내 리플 평단 어때?
307,6722440,펀디 쏜다 비트랑 단타먹어라
308,6722441,리플아까 10개준다는놈 봐라
