,num,title
3,5587470,23만원있는데 이더리움 지금 탑승해두됨?
24,5587509,게임설치하고 5클레이 받쟛(5000개선착순임)
25,5587514,클레이5개 공짜로 같이 받자
27,5587517,"전 비트코인재단 회장 브록 피어스, 2020년 미국 대통령 선거에 출마"
32,5587522,이더기반 디파이메타 다시 시작인가
35,5587525,리플 왜케 쏘냐 
37,5587527,카르디아 먹기 쉽네
38,5587528,이더리움 겁나 쏘는구나ㅎㅎㅎㅎ
46,5587539,이더리움 투더문하네
50,5587543,키야 이더 잘한다 ㅋㅋㅋㅋ
55,5587551,50 아래에선 무조건 이더 잡았어야지
57,5587553,이더리움 업그레이드한다면 어떨까
64,5587563,형님들 외국인이 저한테 비트코인 송금이 가능한가요?
75,5587582,최근 디코인에 상장한 이더플러스
77,5587588,비캐 오를 타이밍
78,5587589,이더리움 넴 놓쳤는데 헌트라도 살까????
88,5587606,라이트랑 카이버 들어가있는데
92,5587612,이더리움 찐이였구나 ㅎ
94,5587614,이더 진짜 믿고 땡겨본다 가즈아
95,5587615,결국 비트는 다시 돌아온다
96,5587617,리플 올라간다 술술술술
100,5587621,DeFi 분야의 차세대 유니콘 POFID
101,5587622,테더 어떻게 옮김?
110,5587633,DeFi 분야의 차세대 유니콘 POFID
118,5587641,ICO 한놈들 전부 이더 팔았던거 기억 안나냐?
130,5587657,이더 탈출한다 잘가라
136,5587666,이더 640000까지 상승여력있음
141,5587684,이더 오늘이나 내일 500달러간다
142,5587686,이더 떡락할 거 같은디..
143,5587688,이더 떡락하겠지 근데
145,5587696,마이이더월렛 키 잃어버리면 어케 해야 함?
147,5587699,어찌보면 이더리움 자체가 개씹스캠 사기지
148,5587700,비탈릭도 18년인가 고점에서 이더리움 다 털고나옴
152,5587707,이더 와이라노.
155,5587711,이더에 몰빵중이다 내 수익율 ㅁㅌㅊ?
162,5587727,이더 이백갑니다
166,5587731,DeFi 분야의 차세대 유니콘 POFID
172,5587739,잡코인은 안믿는다 오로지 비트만 믿는다
187,5587761,DeFi 분야의 차세대 유니콘 POFID
198,5587786,Paxful에있는 비트코인 내계좌로 환전하는법 알려주는 형한테
213,5587826,비캐 개새끼야 자냐?
215,5587831,트론 한달전쯤 매수했는데 수익 60퍼찍힘
227,5587858,트론으로 700빨았네ㅋ
232,5587865,이제 이더 그만오르고
233,5587868,트론대체 뭔일이여?? 왜이래?
236,5587872,리플 실화냐?
238,5587875,아니씨발 이더새끼만 재미보고
239,5587876,앗싸 이더도 떨어진다
244,5587883,솔직히 이더가 기형적으로 혼자올라서
250,5587891,형들 트론링크에 트론넣어놨는데 그 스테이킹 주소는어디서검색해..?
270,5587915,이더리움 2000 청산당했다
275,5587927,이더리움을 뛰어넘는 코인
283,5587936,리플 4000층인데
304,5587978,비캐 비스비에 전재산 몰빵했다
354,5588074,하락장의 대마왕~ 리플똥개 나가신다. 비켜
358,5588085,카르디아 가즈앗
359,5588086,지금 비트코인 바닥 어디쯤 생각들함?
387,5588128,DeFi 분야의 차세대 유니콘 POFID
404,5588151,비캐는 그냥 지옥가네 ㅋㅋ
407,5588154,디카르고 뭔데?
410,5588162,GDAC 클레이 보상
422,5588180,리플에 환장한 병신들아
443,5588221,와 비트 흐르니까
453,5588236,리플 4700에 산 애들에게 묻고 싶다
468,5588266,트론 뭔데 혼자 솟았냐
475,5588281,비트 약 10퍼 이더 15퍼 수익중
480,5588293,이더새끼 깝치더니 꼴 좋다
488,5588305,어휴 헤데라 꼬라지
508,5588332,비트멕스에서 비트보내면 원래 이렇게 시간 오래걸리냐?
531,5588377,디카르고 물려서 찾아봄
535,5588381,지금 트론이나 이더 채굴풀 돌리느 분 있나.. 걍 포블게이트에서 트레이딩
