,num,title
10,5579571,대시>비캐>라이트코인
24,5579599,스텔라같은건 확sil하게오른다고 말할수있음
36,5579618,와 이더 진짜 미쳤냐
44,5579629,스텔라루멘 여기서 더 오를 가능성 있음?
47,5579633,"알트코인 합쳐서 수익률100%중 이더리움,리플"
48,5579634,행님들 이더리움 왜이럽니까?
52,5579638,이더리움 2천만 간다
53,5579639,역시나 ㅋㅋㅋ 리플빼고 전부 대박이네 ㅋㅋㅋㅋ
57,5579645,킹더갓 제너럴 비트
61,5579651,이더리움으로 2천 먹었다
66,5579659,트론코인은 왜 메이저임?
75,5579669,리플 빠져나왔다 
89,5579688,오늘 리플러들 잠 못자겠누 ㅋㅋ
94,5579693,펀디사야한다
105,5579711,리플 만원 이더 천만
109,5579716,펀디 시총 560억 ㅎㄷㄷ
110,5579717,나 펀디좀 탈출시켜줘라 아ㅋㅋ
111,5579719,니들이 뭐라고하던 리플로 많이먹었다
113,5579721,리플 수익 인증 할게요~!!!!!
116,5579724,리플 32층에서 물렸다
117,5579725,무비블록 8월 3일 발표한거여?
126,5579740,자 비트와 알트 관계를 알려주마
137,5579757,진짜 누가 비트코인하나만 준다면
162,5579795,클레이 코인은 가망 없냐..
168,5579813,이더리움 임펄스 웨이브 거의 끝난걸로 보이는데
169,5579817,이더가 멱살 잡고 끌어올리는데 뭐하노
170,5579818,리플 주워놓아라 천원은 다시 갈듯하다
171,5579819,리플 4000원 갈거같다
173,5579821,리플 정신병자들의  어설픈 세뇌교'육 ㅋㅋㅋ
175,5579824,이더 뭐냐
182,5579844,리플 손절해라 미친넘들아
191,5579863,스텔라 좀 가자ㅏㅏㅏ
192,5579864,이클 기사 왔다
196,5579869,리플 210에 탓다
198,5579873,비트코인 오르기 시작해서 15일후 펀디 올라갔다
199,5579874,잡코버리고 비트이더리플 샀다.
205,5579880,용돈으로 투자한 리플 수입 인증(수익률 37퍼) 인증이 없으면 뭐다?
206,5579881,이런말하기 뭐한데 이러다가 리플로 강남아파트사는거 아니냐?
208,5579884,리플 352 탑승했다..
210,5579889,리플 352에 탓는데 10분도안되서
215,5579896,리플 산지 20분
218,5579899,이더리움 2년 6개월 존버 탈출!!!!!
219,5579900,리플 다 올랐냐
222,5579905,역시 리플
223,5579906,리플산지 1시간
226,5579909,리플 지금 들어가도 되냐...
227,5579910,리플 진짜
228,5579911,리플 20만원 넣어놓은거 40만원 됐누
233,5579920,리플로 매번 수익 먹는 사람인데ㄹㅣ
236,5579925,이더가 50인데 비캐가 40은 너무 싼 거 아닌가
238,5579927,이더야 이렇게 오르기만 하다 제발ㄹㄹ
239,5579929,크로미아 왜 운지하냐 씨발
240,5579931,리플은 오늘의 고점이 내일의 저점이 될것이다(리플 포함 모든 메이저)
242,5579933,리플 3000~4000원대에 물려서 지금까지 못나오는 새끼들이 설마있냐?
243,5579934,오전에 리플 800 태움
244,5579935,비코 이더 리플 아래는 처다보지마
246,5579939,코린이 지금 리플 탑승 늦?
250,5579944,ㅅㅂ 비트코인 떨어졌다 작전새끼들 먹튀시작한듯 ㅋㅋ
251,5579945,리플 쏟는다 ㅋㅋㅋㅋㅋㅋㅋㅋㄴ
253,5579947,리플 지옥가는중ㅋㅋㅋㄱㅋ
265,5579960,리플 회복력뭐냐ㄷ
271,5579966,리플 빨간맛뭐고 ㅋㅋㅋㅋㅋ
273,5579968,이더 숏으로 50퍼먹었다ㅋㅋ 고래들 매도하는것만기다림 ㅇㅇ
275,5579970,ㅋㅋㅋㅋㅋ이더 뭐냐 이거
281,5579977,1시간전에 리플 사서 7% 먹었단놈..ㅋㅋㅋ
285,5579981,리플 지지라인 횡보후 떡상예정
286,5579982,[긴급속보] 유명 비트코인 거래소 B 해킹
290,5579987,2018년에 이오스때도 서버터짐
311,5580012,두달안에 비트 삼천 이더 백오십 리플 7천
328,5580030,오늘 리플 떠억상입니다. 수고하셨숩니다. 3천원
332,5580034,리플이 현시점 대장주다 다시없는 기회
336,5580038,리플 19%까지 떡상해서 좋았는데
342,5580047,이더 30 만원 짜리가 보름만에 48 만원까지 올랐다가 39 만원까지 폭
345,5580050,리플 ㅋㅋㅋ 좃썸 ㅋㅋㅋ 씹창났다.. 역시 리또속은 과학이다.
347,5580052,리플탄다 ㅋㅋㅋ ㄱㄱㄱㄱ
352,5580057,리플 하락장의 대장주 - 13% 급락중 ㅋㅋㅋㅋㅋ
355,5580060,아 ㅅㅂ 비트코인 급락했노 ㅋㅋㅋ 작전새끼들 벌서 튀었었네
356,5580061,리플 오늘 초대박 하락행진중 - 15% 급락중 ㅋㅋㅋㅋ 줄줄 새는구나
359,5580065,리플 ㅋㅋ 꺼어억~~ 급락 초급락중 - 20% 넘길듯 ㅋㅋㅋㅋ
361,5580067,리플 320에 입 벌리고 있는다
376,5580084,일론 머스크 트위터 피셜 팩트냐? 비트랑 이더 뿌렸나본데??
390,5580099,야 비트코인 넣으면 두배로 돌려준다는거 구라지?
394,5580103,반등할때 비트코인 캐시 타야해요
401,5580111,리플 주웠는데 ㄷ ㄷ
