,num,title
2,2963531,어차피 비트코인 더 떨어질곳도 없지 않음?
14,2963562,루나 개발자 전격 구속 속보
17,2963568,루나 권도형 전격구속 속보
18,2963569,진짜 미친척하고 비트 5k정도로 청산맞추고 롱해놓고 잊고살까
31,2963592,루나 권도형 죽었다는 소문
47,2963619,루나 권도형 시신발견 소문 돌고있다
57,2963638,플댑 비트만 아니면 상위간다
113,2963724,리플 가쥬아
144,2963777,이거 루나는 왜 안잡아가냐?
145,2963778,도지 다시 500 이상 가는 날이 올까?
152,2963794,빗썸 앵커는 뭐냐 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
158,2963802,빗썸 앵커 미친새기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
165,2963816,빗썸앵커.  5초만에 1퍼에서 150퍼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
171,2963829,시발 앵커 탔다가 20만원 날림 ㅡㅡ
174,2963832,금보는 하루종일 빗갤에서 코인 앵커짓만 하는구나.히키코모리인생
213,2963893,ㅋㅋㅋㅋㅋㅋㅋㅋ애미 빗썸 앵커 강심장으로 ㅋㅋㅋㅋㅋ
225,2963913,무비블록 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
227,2963916,아니빗썸개씨발앵커 렉땜에팔지도못햇어 개좆같네
260,2963975,우와 ㅆㅂ 버텨  비트야.  숏충이만 먹여살릴거냐?
262,2963980,마이클세일러는 왜 비트코인을 더 샀을까
286,2964029,12일전에 비트반등 2650만 가능?
288,2964033,앵커 장난치나
296,2964047,아 비트 언제 나락가노~~~
299,2964053,와 비트 드디어 찐빤이노 ㅋㅋㅋㅋㅋㅋ하
302,2964059,앵커 물린 새끼 봐라
311,2964078,아니 시바 나스닥이 이정도 오르면 비트는 지금 21k 찍고 있어야 된다
333,2964137,아우 ㅆㅂ 졸려. 빨리 -3퍼 찍어라 비트야 
335,2964145,샌박이랑 솔라나랑 둘중
340,2964155,코린이 비트 예상
342,2964157,도지는 메이저임?
345,2964163,다들 느끼겠지만 비트 하락 대비 알트 하락이
350,2964171,샌드박스 살까 위믹스 살까
368,2964224,속보)루나코인 부활ㄷㄷ
