num,title,date
1630127,8월 첫째주 상승장 예상해봄,2019-08-01 00:00:02
1630129,아니시빨 후오비출금되는거면 왤캐 시세차이낫냐고 아까,2019-08-01 00:01:57
1630131,8월인데 알트 안산 흑당밀크티 읍제?,2019-08-01 00:04:20
1630133,지닥절대 쓰지마라,2019-08-01 00:05:29
1630134,롤토 처음 해봤는데 알갤에서 초가스 사기라길래,2019-08-01 00:07:10
1630136,혁명빔 이즈 커밍!@@@@@@@,2019-08-01 00:09:11
1630137,20만원 잡알트사기vs알트숏치기,2019-08-01 00:09:49
1630141,vsys 총 결과 = 20 풍운,2019-08-01 00:11:02
1630146,나도 돈벌고 싶다,2019-08-01 00:15:31
1630149,제발 메이저 알트들 초상승장 ㅜㅜ,2019-08-01 00:18:55
1630150,huaban token 아는사람있냐?,2019-08-01 00:19:03
1630159,와장창님 1.47 이클 감사합니다,2019-08-01 00:24:34
1630160,근데 이거 알트 데리고가려나?,2019-08-01 00:24:53
1630162,비트 씨벌련 패턴 좆같네,2019-08-01 00:25:20
1630163,바낸 부모님 계정도 kyc 했다,2019-08-01 00:26:00
1630164,이번에도 짤파고가 옳았다!,2019-08-01 00:26:23
1630165,8월 1일 수익일지,2019-08-01 00:27:01
1630168,짤파고 농구하러갔나?,2019-08-01 00:30:01
1630170,와장창님 이클 감사함니다,2019-08-01 00:30:07
1630173,다음 런패 캡 공지된거 없죠,2019-08-01 00:33:31
1630174,리플 징허다 진짜 ㅋㅋㅋ,2019-08-01 00:33:39
1630175,오늘 훠비 역따리해본사람없뚬?,2019-08-01 00:33:58
1630179,진짜 내일만큼 에어컨 상장하기 좋은날이 어딧누,2019-08-01 00:35:54
1630180,헐 지금봤는데 7등까지줬네,2019-08-01 00:36:45
1630183,결국 역대급 개미털기였던거지,2019-08-01 00:41:26
1630184,이거이거 이제 또 비트만 움직이는 장이온거맞지?,2019-08-01 00:41:29
1630185,진짜 이번주나 다음주안으로 상장할거같음 ㅎㅎ,2019-08-01 00:42:41
1630188,살려줘는 직장인이면 코인은 이벤트만 참가함?,2019-08-01 00:45:17
1630189,님들 빗썸입금할려는데 가상계좌가 종료되엇대요,2019-08-01 00:46:02
1630190,기습 야짤 달린다,2019-08-01 00:47:41
1630191,vsys ZB 출금을 못하네,2019-08-01 00:48:28
1630192,님들 vsys 전송빠른걸로아는데 맞음?,2019-08-01 00:48:42
1630197,알부이들 글만봐도 대략 나이가 보인다보여,2019-08-01 00:58:36
1630199,럭키드로우 200치준거네 거의,2019-08-01 01:01:25
1630202,아 오늘 빗썸 상장 CHR 맞나보네,2019-08-01 01:04:38
1630204,난 오늘 메디로 25%먹어서 자러간다.,2019-08-01 01:05:58
1630206,good bai 10k,2019-08-01 01:08:08
1630207,좆썸상장은 뭘해도 노답,2019-08-01 01:08:19
1630210,음 100원이면 따발총 1000개로 하겠네,2019-08-01 01:10:24
1630215,미스릴이랑 바이트가 코인충들 뇌 다 박살내놓음,2019-08-01 01:13:48
1630217,안녕하세용,2019-08-01 01:15:07
1630221,형님들 코린이 바낸 인증 방법 좀 알려주십쇼ㅜㅜㅠㅡ,2019-08-01 01:20:48
1630222,야 오늘 놀토다ㅋㅋ,2019-08-01 01:23:06
1630223,북딱이 8사토시 됐네,2019-08-01 01:23:24
1630225,후오비 vsys 역프인데,2019-08-01 01:24:07
1630233,캐셔 환전 잘됨?,2019-08-01 01:32:07
1630235,요즘 워터파크에 비키니걸 많으려나,2019-08-01 01:32:50
1630239,역동제인광선개병신,2019-08-01 01:35:22
1630242,풀시드 테더화가,2019-08-01 01:38:33
1630244,랜드캐슬방 폭동났음.jpg,2019-08-01 01:40:27
1630245,요기요 슈퍼클럽 저거 쓸만하네...,2019-08-01 01:41:47
1630246,차갤리더보드 뭐임?,2019-08-01 01:43:28
1630247,다태야 너얼마햇는데?,2019-08-01 01:43:49
1630249,뿌려논 시드 한번회수해서 현찰로 볼까..,2019-08-01 01:46:14
1630250,차갤에 10억이상 누구있는데?,2019-08-01 01:48:06
1630253,형님들 학식충 출금 성공 했읍니다 고맙읍니다ㅜㅜ누,2019-08-01 01:50:39
1630255,숏들고 잡니다,2019-08-01 01:52:54
1630260,알갤은 10억따리이상들종종있자나,2019-08-01 01:56:45
1630264,4000만원정도 재입금했다,2019-08-01 02:03:26
1630265,몇년전에 짝사랑한 여자애 있었는데 프로필 안보이길래,2019-08-01 02:04:43
1630274,"미국 상원의원: “우리가 원한다고 해도, 비트코인을 금지할 수 없다”",2019-08-01 02:13:12
1630279,난 초중학교 동창이 EXID 하니임,2019-08-01 02:20:04
1630281,제민쿤이 올린 비트코인 메타넷 디앱구조를 알아보자,2019-08-01 02:21:25
1630282,ㅅㅂ 내일 출근할려면 자야되는데,2019-08-01 02:23:14
1630286,리플은 보면볼수록 레전드네,2019-08-01 02:27:47
1630293,키르파티 온갖 모에요소 다 갖춤,2019-08-01 02:37:58
1630298,한빗코 근데 개잡거래소 맞지않음?,2019-08-01 02:43:01
1630299,ㅋㅋ어줍잖게 잘생겨서 오는 여자 가는 여자 거리는거보면 우스움,2019-08-01 02:43:18
1630309,풍근은 나중에 자식낳으면 디시글 보여줄거라고,2019-08-01 02:55:08
1630312,"Wink 커뮤니티, 에어드랍 물량 풀렷다는놈은 뭐노ㅡㅡ",2019-08-01 02:59:42
1630314,야스틴 리트윗 존나하네 진짜 ㅋㅋ,2019-08-01 03:01:49
1630315,XBT / LONG 도달완료,2019-08-01 03:02:25
1630322,지금 20배 롱 갈기면 쏠쏠할거 같은데,2019-08-01 03:18:50
1630324,풍경 지렸,2019-08-01 03:24:40
1630328,랜드캐슬 대표 불타는 이유,2019-08-01 03:30:49
1630329,ssd 바꾸니까 좋너,2019-08-01 03:32:58
1630337,랜드 사장 저거 종특이자너,2019-08-01 03:57:47
1630340,이제와서 하는얘기지만 나도 다이나믹했네,2019-08-01 04:04:40
1630345,랜드캐슬 저런데도 몇백억 꺼억하고튄다고?,2019-08-01 04:16:41
1630347,로빈장 통화내용 공개됨,2019-08-01 04:20:12
1630361,야가다 7월정산(68/100),2019-08-01 05:12:15
1630363,않이 풍운이 ㄹㅇ억대 연봉인데 씹거??,2019-08-01 05:16:41
1630374,풍가다 ㅆㅅㅌㅊ네,2019-08-01 06:02:48
1630395,요샌 새벽내내 갤 글 한페이지를 못채우네,2019-08-01 07:20:15
1630396,코인판만봐도 우리나라는 사기꾼 ㅅㄲ들이 더 떳떳하네,2019-08-01 07:20:24
1630397,윙크상장후에 이짤에서,2019-08-01 07:23:58
1630399,여러분의 돈으로 요세미티 왔습니다,2019-08-01 07:27:36
1630404,!알트봇 석우오늘상장 석우오늘안상장,2019-08-01 07:41:30
1630405,석우형 단디삐졋노 진짜ㅋㅋㅋㅋ,2019-08-01 07:42:16
1630409,상장안할거면 두번째 상폐목록 공개하자,2019-08-01 07:49:15
1630413,내일지나면 여름휴가인데 장굳으면 속상할듯,2019-08-01 08:02:48
1630428,븐브 전송속도는 어떰?,2019-08-01 08:35:13
1630432,내년엔 리버풀이나 왔음 좋겠다,2019-08-01 08:43:58
1630435,요기요 슈퍼클립 무적권 이득아니야??,2019-08-01 08:50:04
1630440,ㅡㅡㅡㅡㅡㅡㅡㅡㅡ알 갤 졸 업 완 료ㅡㅡㅡㅡㅡㅡㅡㅡㅡ,2019-08-01 09:02:38
1630442,테더화햇는데 자꾸 비트오르네ㅋㅋㅋ,2019-08-01 09:05:48
1630443,런패 이러면 스냅샷 찍혔겠지?,2019-08-01 09:06:09
1630446,아인88털고 잘털엇다 이랫는디 그만가라,2019-08-01 09:08:45
1630447,오늘 근데 진짜  나가지마라,2019-08-01 09:09:40
1630450,하 버스타다 잠들어서,2019-08-01 09:10:18
1630451,자기방에 에어컨 없는 사람,2019-08-01 09:13:17
1630452,알부이들 조은 아침,2019-08-01 09:13:30
1630455,알붕이덜 하잇,2019-08-01 09:16:29
1630456,알트장 온다했자나요 ㅜㅜ,2019-08-01 09:18:33
1630460,역프 좆같았는데 환율이 존나 올랐네,2019-08-01 09:25:17
1630462,"개석우 김프,역프 관리 안하는거보면",2019-08-01 09:26:18
1630465, 윙크 언제 상장인가요?,2019-08-01 09:31:50
1630466,물렸다,2019-08-01 09:33:43
1630468,난 런패없지만 제발 대박나길!!!,2019-08-01 09:35:26
1630470,정든 알갤러들 한테만 말해주는건데,2019-08-01 09:38:41
1630474,비트 고작 이정도 떨군다고,2019-08-01 09:46:34
1630475,오늘도샤먼매매법간다,2019-08-01 09:49:24
1630479,뉴스보다 울었음 아빠보고싶당  ㅠ,2019-08-01 09:54:15
1630481,알붕이들 출근해~,2019-08-01 09:55:25
1630482,방콕 vs 다낭 ,2019-08-01 09:56:58
1630484,코인원 결국 저거 상장하네 ㅋㅋㅋ,2019-08-01 09:59:25
1630485,그 자동차 물린거 다 익절ㄷㄷㄷㄷㄷㄷ,2019-08-01 09:59:50
1630490,뭐지 스타코인 꺼억하고 케이스타라이브 나온건가,2019-08-01 10:04:02
1630491,상장가 보너스 빼고 계산했네,2019-08-01 10:04:29
1630493,명훈이형 이건아니잖아,2019-08-01 10:06:10
1630496,토 1스 카드,2019-08-01 10:09:17
1630499,와 디시 로그인안되서 한참 고생했네 ㅠㅠ,2019-08-01 10:10:49
1630508,케이스타 샀다가 환불했는데,2019-08-01 10:21:53
1630509,너네 라코 안사냐,2019-08-01 10:24:39
1630510,얼마나 장에 먹을 게 없으면,2019-08-01 10:24:55
1630512,윙크 단가가 1사토시 맞냐?,2019-08-01 10:26:19
1630513,날씨가 계속 저기압이다 보니,2019-08-01 10:26:20
1630514,좆썸 상장 공지 없네,2019-08-01 10:27:53
1630515,코박판매때 환불 많았던 이유가,2019-08-01 10:28:45
1630516,하루종일 비오네..,2019-08-01 10:29:01
1630519,아 니기미 코인과 거리를둬야함,2019-08-01 10:33:25
1630520,선생님들 비트코인은 올랐는데 알트는 떨어졌네요??,2019-08-01 10:33:51
1630522,븐브 빼간거 갯수 오반데,2019-08-01 10:35:38
1630523,리플 10억개 언락,2019-08-01 10:36:31
1630524,얘들아 윙크 몇배에 팔아야돼,2019-08-01 10:39:18
1630526,업비트에서 스팀스달 27일까지 지갑동결한다는데 가두리 다시 가능할까?,2019-08-01 10:40:45
1630527,후토 팔고 븐브 산거 원화 손해 계산해봄,2019-08-01 10:43:36
1630529,목요일이라 기대심리로 메타디움 샀다가 벌써 -2%,2019-08-01 10:44:32
1630531,리플 물량 풀리는거 메모,2019-08-01 10:46:09
1630536,니네들은 모른다,2019-08-01 10:55:33
1630537,나중에 딸이 dc같은곳에 헬갤러마냥 인증올리면 어케할거임,2019-08-01 10:57:18
1630538,이런 사이트두 생김ㅋㅋㅋ,2019-08-01 10:57:42
1630541,러너웨이는 문어발이누~,2019-08-01 11:01:09
1630545,사진 삭제하는 기준이 머지,2019-08-01 11:06:18
1630548,오늘도 폭염경보네,2019-08-01 11:07:59
1630550,배민 3천원 할인쿠폰 50장 만천원에 샀다,2019-08-01 11:09:27
1630551,#COINKO 코인코 8월 1일 코인일정,2019-08-01 11:09:34
1630552,엑시트 꼭 보세요 여러분,2019-08-01 11:09:45
1630558,본격적 휴가철 ,2019-08-01 11:18:33
1630562,척보면 정보공유는 뒤에서 하고 여긴 똥글만 쓰는거 눈치 못채냐,2019-08-01 11:22:50
1630566,갤창 빌보드,2019-08-01 11:25:47
1630568,밖에 덥너...,2019-08-01 11:29:11
1630571,근데 내가 왜 갤창인데,2019-08-01 11:31:57
1630574,고인원 vip있냐?,2019-08-01 11:33:23
1630575,우리나라 경제대국 맞는거같아,2019-08-01 11:33:27
1630579,명품시계 사기 전에 거울 보고 와라,2019-08-01 11:36:30
1630580,그분 근황입니다,2019-08-01 11:38:04
1630581,요즘 진짜 주식처럼 장이 느려진듯,2019-08-01 11:39:37
1630584,아 회사 그만두고 봉이나 볼까?,2019-08-01 11:40:17
1630585,피부과에 사람 많네,2019-08-01 11:43:14
1630587,내 이브이 블랙키 진화시켯는데 왤케 약하냐 ㅅㅂ,2019-08-01 11:46:17
1630588,인스타 이쁜애들 팔로우하고나서 특,2019-08-01 11:46:49
1630589,알바들 또왓네,2019-08-01 11:48:11
1630590,차트갤 리더보드 4일 보고느낀점,2019-08-01 11:48:15
1630591,좃썸 이제는 ㅋㅋㅋ,2019-08-01 11:49:22
1630592,근데 다들 제 갈길 가는데 느네들은 왜 아직도 여기서 못헤어남??,2019-08-01 11:49:29
1630594,갤창새끼들아 니들이 사람 새끼들이냐 ㅋㅋㅋㅋㅋㅋ,2019-08-01 11:51:01
1630597,힌트 멤버쉽,2019-08-01 11:53:30
1630599,그럼 좀 퀄있는 단톡 들어가려면 어케해야함?,2019-08-01 11:55:06
1630601,알갤 폐쇄가 답인 이유,2019-08-01 11:56:49
1630602,콸삼님,2019-08-01 11:57:14
1630603,다태야 24살 무직백수야?,2019-08-01 11:57:18
1630606,메디 선동해도 됨?,2019-08-01 12:00:40
1630607,난 시계 이거 사는데 ㅠ,2019-08-01 12:00:57
1630609,"미국의 기준금리 인하, 비트코인에겐 어떻게 작용할 수 있나?  https",2019-08-01 12:03:38
1630612,지난달 250썼네,2019-08-01 12:05:20
1630613,배민 쿠폰 구매 완료,2019-08-01 12:07:11
1630614,나 왜 안보내줘 시발,2019-08-01 12:09:48
1630617,이거 없는 흑우없제잉ㅋㅋ,2019-08-01 12:11:41
1630619,엑시트 보러옴 ,2019-08-01 12:14:06
1630621,6검사 사기침..,2019-08-01 12:16:38
1630622,나도 5장 샀는데수,2019-08-01 12:16:48
1630627,배민쿠폰사도 쓸곳이없네,2019-08-01 12:21:20
1630628,코인판 요즘 개씹노잼이다,2019-08-01 12:21:30
1630631,배민요즘 왜 포인트적립안되냐 시발,2019-08-01 12:23:14
1630632,나는 여친도 없는데 돈을 왤케많이쓸까,2019-08-01 12:23:17
1630638,오늘 석우 페어링하면 1이클뿌림,2019-08-01 12:27:17
1630640,알갤에 그나마 호감이던 사람들 요새 안오네,2019-08-01 12:28:12
1630641,오긴왓는데 왜 발송번호가 내번호랑 비슷하냐,2019-08-01 12:29:36
1630644,갓동닉이 올린거보니까 힌트로 결제 꽤많이하노,2019-08-01 12:33:34
1630645,오세득 전화해봄,2019-08-01 12:34:28
1630646,서울사는애들부럽다,2019-08-01 12:34:30
1630649,그 소액충 앰창인생새끼 안와서 좋노ㅋㅋ,2019-08-01 12:38:00
1630650,야 이거 문자에서 저거만 복사 안되는데,2019-08-01 12:38:24
1630654,할것도없는데 자야지,2019-08-01 12:40:26
1630655,흙수저인생 코인으로 돈벌어서 첨가본 고급식당이 라세느였음,2019-08-01 12:41:49
1630656,본인 대가리 많이 커보임?,2019-08-01 12:44:40
1630658,홍어버그 죽었음?,2019-08-01 12:46:27
1630659,그럼 알갤엔 여갤러 3명밖에없냐??,2019-08-01 12:47:39
1630660,나도 알갤러들 몰래 오세득 다녀오긴했음,2019-08-01 12:47:47
1630661,헉..비트처박나,2019-08-01 12:48:22
1630662,안녕 섹스들아,2019-08-01 12:48:41
1630663,블랙 앵거스 스테이크,2019-08-01 12:49:03
1630664,헤리 윙크스 5시 상장 맞죠?,2019-08-01 12:49:05
1630665,아존귀 억따리여,2019-08-01 12:49:35
1630666,힌트체인 저걸로사서가면 얼마 싸게 먹는건데?,2019-08-01 12:49:59
1630668,갓동닉 진짜 의사 맞음?,2019-08-01 12:51:29
1630670,예전에 스타코인이 개꿀이었지 50넣고 50 추가로받아버리기,2019-08-01 12:52:41
